study,id,t,r,n,study_year,unpublished_data,rob,unpublished
OntiverosSanchez1998  ,197,fluoxetine,7,21,1998,0,2,0
OntiverosSanchez1998  ,197,amitriptyline,10,21,1998,0,2,0
Versiani1999,198,fluoxetine,12,77,1999,0,1,0
Versiani1999,198,amitriptyline,15,80,1999,0,1,0
Fava2002,201,sertraline,26,96,2002,0,2,0
Fava2002,201,fluoxetine,24,92,2002,0,2,0
Fava2002,201,paroxetine,27,96,2002,0,2,0
DeWilde1983a,209,fluvoxamine,0,22,1983,0,1,0
DeWilde1983a,209,clomipramine,0,21,1983,0,1,0
Remick1994,220,amitriptyline,8,17,1994,0,2,0
Remick1994,220,fluvoxamine,3,16,1994,0,2,0
Nemeroff1995,221,fluvoxamine,18,49,1995,0,2,0
Nemeroff1995,221,sertraline,7,48,1995,0,2,0
Ottevanger1995,222,fluvoxamine,5,20,1995,0,1,0
Ottevanger1995,222,clomipramine,3,20,1995,0,1,0
Rapaport1996,223,fluvoxamine,7,51,1996,0,1,0
Rapaport1996,223,fluoxetine,8,49,1996,0,1,0
Kiev1997,226,fluvoxamine,11,30,1997,0,2,0
Kiev1997,226,paroxetine,9,30,1997,0,2,0
Murasaki1998,227,fluvoxamine,43,113,1998,0,1,0
Murasaki1998,227,amitriptyline,56,122,1998,0,1,0
Dalery2003,228,fluvoxamine,24,90,2003,0,2,0
Dalery2003,228,fluoxetine,20,94,2003,0,2,0
Rossini2005,229,fluvoxamine,1,40,2005,0,1,0
Rossini2005,229,sertraline,3,48,2005,0,1,0
Harris1991,230,fluvoxamine,11,35,1991,0,2,0
Harris1991,230,amitriptyline,8,34,1991,0,2,0
Ansseau1989a,239,milnacipran,24,95,1989,0,2,0
Ansseau1989a,239,amitriptyline,11,49,1989,0,2,0
Ansseau1989b,240,milnacipran,3,44,1989,0,1,0
Ansseau1989b,240,amitriptyline,5,43,1989,0,1,0
Ansseau1991,241,fluvoxamine,6,41,1991,0,2,0
Ansseau1991,241,milnacipran,9,85,1991,0,2,0
Ansseau1994b,242,milnacipran,23,97,1994,0,1,0
Ansseau1994b,242,fluoxetine,18,93,1994,0,1,0
Guelfi1998,244,milnacipran,99,200,1998,0,1,0
Guelfi1998,244,fluoxetine,50,100,1998,0,1,0
Clerc2001,245,fluvoxamine,17,56,2001,0,2,0
Clerc2001,245,milnacipran,15,57,2001,0,2,0
Yang2003,246,milnacipran,15,27,2003,0,2,0
Yang2003,246,sertraline,11,26,2003,0,2,0
Sechter2004,247,milnacipran,29,149,2004,0,2,0
Sechter2004,247,paroxetine,33,153,2004,0,2,0
Kamijima2013 (japicCTI-090733),248,milnacipran,117,604,2013,0,1,0
Kamijima2013 (japicCTI-090733),248,paroxetine,56,301,2013,0,1,0
vanMoffaert1995b,258,mirtazapine,26,100,1995,0,2,0
vanMoffaert1995b,258,trazodone,23,100,1995,0,2,0
Wheatley1998,262,mirtazapine,17,66,1996,0,1,0
Wheatley1998,262,fluoxetine,21,67,1996,0,1,0
Leinonen1999 (Agren1995),263,mirtazapine,18,137,1999,0,1,0
Leinonen1999 (Agren1995),263,citalopram,8,133,1999,0,1,0
Benkert2000 (E-1559),264,mirtazapine,30,139,2000,1,2,0
Benkert2000 (E-1559),264,paroxetine,33,136,2000,1,2,0
Schatzberg2002 (003-901),265,mirtazapine,29,128,2002,1,1,0
Schatzberg2002 (003-901),265,paroxetine,39,126,2002,1,1,0
Hong2003 (22521),266,mirtazapine,30,66,2000,1,2,0
Hong2003 (22521),266,fluoxetine,22,66,2000,1,2,0
"Behnke2003 (E-1690, Kjernisted2002)",267,mirtazapine,41,176,2003,1,2,0
"Behnke2003 (E-1690, Kjernisted2002)",267,sertraline,32,170,2003,1,2,0
Wade2003 (E-1721),268,mirtazapine,40,99,2003,1,1,0
Wade2003 (E-1721),268,paroxetine,39,98,2003,1,1,0
Winokur2003,269,mirtazapine,0,8,2003,0,1,0
Winokur2003,269,fluoxetine,1,12,2003,0,1,0
Amini2005,270,mirtazapine,2,18,2005,0,1,0
Amini2005,270,fluoxetine,3,18,2005,0,1,0
Versiani2005,271,mirtazapine,14,145,2005,0,1,0
Versiani2005,271,fluoxetine,18,149,2005,0,1,0
Szegedi2006,272,mirtazapine,39,130,2006,0,1,0
Szegedi2006,272,venlafaxine,47,128,2006,0,1,0
"Murasaki2010a (iQWIG22532, Schoemaker2002)",277,mirtazapine,22,104,2000,1,1,0
"Murasaki2010a (iQWIG22532, Schoemaker2002)",277,fluvoxamine,19,105,2000,1,1,0
"Murasaki2010b (iQWIG9902, Schoemaker2002)",278,mirtazapine,24,101,2002,1,1,0
"Murasaki2010b (iQWIG9902, Schoemaker2002)",278,fluvoxamine,22,102,2002,1,1,0
Benkert2006(C-1763),279,mirtazapine,39,140,2003,1,1,0
Benkert2006(C-1763),279,venlafaxine,47,135,2003,1,1,0
E-1569,280,mirtazapine,9,73,1996,1,1,1
E-1569,280,paroxetine,7,75,1996,1,1,1
"Debonnel2000 (Blier2009, iQWIG E-1639)",281,mirtazapine,0,21,2000,1,2,0
"Debonnel2000 (Blier2009, iQWIG E-1639)",281,paroxetine,3,21,2000,1,2,0
Armitage1997,284,nefazodone,5,22,1997,0,2,0
Armitage1997,284,fluoxetine,5,21,1997,0,2,0
Baldwin1996,285,nefazodone,28,105,1996,0,2,0
Baldwin1996,285,paroxetine,28,101,1996,0,2,0
Berlanga1997,286,nefazodone,8,37,1997,0,2,0
Berlanga1997,286,fluoxetine,2,37,1997,0,2,0
Feiger1996,289,nefazodone,19,78,1996,0,2,0
Feiger1996,289,sertraline,20,82,1996,0,2,0
Gillin1997,292,nefazodone,5,24,1997,0,1,0
Gillin1997,292,fluoxetine,3,20,1997,0,1,0
Hicks2002,293,nefazodone,5,20,2002,0,1,0
Hicks2002,293,paroxetine,3,20,2002,0,1,0
PAR 29060.308 (HP/81/74A),304,paroxetine,1,10,1983,1,1,1
PAR 29060.308 (HP/81/74A),304,amitriptyline,2,12,1983,1,1,1
PAR 29060.318 (HP/82/64A),305,paroxetine,1,9,1983,1,1,1
PAR 29060.318 (HP/82/64A),305,amitriptyline,2,12,1983,1,1,1
Battegay1985 (PAR 29060.309 HP/81/162A),306,paroxetine,3,11,1984,1,2,0
Battegay1985 (PAR 29060.309 HP/81/162A),306,amitriptyline,8,10,1984,1,2,0
PAR 29060.310 (HP 81/85A),307,paroxetine,4,10,1984,1,2,1
PAR 29060.310 (HP 81/85A),307,amitriptyline,5,13,1984,1,2,1
PAR 29060.316 (HP/82/47A),308,paroxetine,3,9,1984,1,2,1
PAR 29060.316 (HP/82/47A),308,amitriptyline,3,8,1984,1,2,1
PAR 29060.314 (HP 82/134),310,paroxetine,7,10,1985,1,2,1
PAR 29060.314 (HP 82/134),310,amitriptyline,4,8,1985,1,2,1
PAR 29060/281 ,311,paroxetine,36,82,1985,1,2,1
PAR 29060/281 ,311,amitriptyline,26,80,1985,1,2,1
PAR MDUK 032,312,paroxetine,10,29,1986,1,2,1
PAR MDUK 032,312,amitriptyline,10,30,1986,1,2,1
Guillibert1989 (PAR 290 MDF 29060 1727 M),326,clomipramine,12,39,1988,1,2,0
Guillibert1989 (PAR 290 MDF 29060 1727 M),326,paroxetine,9,40,1988,1,2,0
Pelicier1993 (PAR MDED/29060/III/86/1728M291),327,clomipramine,10,42,1988,1,2,0
Pelicier1993 (PAR MDED/29060/III/86/1728M291),327,paroxetine,12,41,1988,1,2,0
MDF/29060/III/070/88/MC,329,paroxetine,3,32,1989,1,2,1
MDF/29060/III/070/88/MC,329,clomipramine,6,30,1989,1,2,1
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",330,paroxetine,10,45,1989,1,2,0
"Rouillon1991 (Limosin2006, 029060/1/CPMS 069 1991)",330,clomipramine,15,47,1989,1,2,0
Geretsegger1995 (MY-060/BRL-029060/1),331,paroxetine,10,44,1990,1,2,0
Geretsegger1995 (MY-060/BRL-029060/1),331,amitriptyline,12,47,1990,1,2,0
DUAG1990,332,paroxetine,12,62,1990,0,2,0
DUAG1990,332,clomipramine,19,58,1990,0,2,0
Tignol1993 (29060/087),335,paroxetine,25,89,1991,1,1,0
Tignol1993 (29060/087),335,fluoxetine,33,87,1991,1,1,0
Schoene1993 (Geretsegger1994 MY1021/BRC),336,paroxetine,9,54,1991,1,1,0
Schoene1993 (Geretsegger1994 MY1021/BRC),336,fluoxetine,9,52,1991,1,1,0
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),337,paroxetine,7,60,1992,1,1,0
Ontiveros1994 (MY-0144/BRL 29060/1/CPMS-135 (PAR135)),337,fluoxetine,9,62,1992,1,1,0
Bignamini1992 (PAR 29060/078),338,paroxetine,31,156,1992,1,1,0
Bignamini1992 (PAR 29060/078),338,amitriptyline,20,153,1992,1,1,0
Hutchinson1992,339,amitriptyline,11,32,1992,0,2,0
Hutchinson1992,339,paroxetine,12,58,1992,0,2,0
Staner1995 (063),340,paroxetine,5,21,1992,1,2,0
Staner1995 (063),340,amitriptyline,4,19,1992,1,2,0
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),342,paroxetine,16,55,1992,1,2,0
Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),342,fluvoxamine,23,65,1992,1,2,0
DeWilde1993,343,paroxetine,14,49,1993,0,1,0
DeWilde1993,343,fluoxetine,15,50,1993,0,1,0
Gagiano1993,344,paroxetine,8,45,1993,0,1,0
Gagiano1993,344,fluoxetine,10,45,1993,0,1,0
29060/356,347,paroxetine,21,68,1994,1,2,1
29060/356,347,fluoxetine,27,70,1994,1,2,1
SER-CHN-1,348,paroxetine,2,113,1994,1,1,1
SER-CHN-1,348,amitriptyline,7,118,1994,1,1,1
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",350,paroxetine,34,78,1989,1,2,0
"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",350,amitriptyline,30,75,1989,1,2,0
Christiansen1996,351,paroxetine,15,71,1996,0,2,0
Christiansen1996,351,amitriptyline,16,73,1996,0,2,0
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),356,paroxetine,103,513,1994,1,2,0
Ravindran1997 (MY-1055/BRL-029060/1/CPMS-245 PAR 245),356,clomipramine,142,506,1994,1,2,0
Chouinard1999 (29060/131),359,paroxetine,40,102,1999,1,1,0
Chouinard1999 (29060/131),359,fluoxetine,33,101,1999,1,1,0
Tsutsui2000,360,paroxetine,41,116,2000,0,1,0
Tsutsui2000,360,trazodone,44,109,2000,0,1,0
Miura2000,361,paroxetine,53,109,2000,0,1,0
Miura2000,361,amitriptyline,59,119,2000,0,1,0
Cassano2002 (29060/421),364,paroxetine,50,123,2002,1,2,0
Cassano2002 (29060/421),364,fluoxetine,45,119,2002,1,2,0
Deushle 2003(NCT01049347),374,amitriptyline,8,14,1997,0,3,0
Deushle 2003(NCT01049347),374,paroxetine,6,21,1997,0,3,0
Bosc1997b (Study 016 - Massana 1999),383,reboxetine,20,79,1993,1,2,0
Bosc1997b (Study 016 - Massana 1999),383,fluoxetine,20,89,1993,1,2,0
Baldwin2006a (97-CRBX-052 - Study 052),389,reboxetine,53,159,2000,1,2,0
Baldwin2006a (97-CRBX-052 - Study 052),389,paroxetine,33,166,2000,1,2,0
Study 043,392,reboxetine,44,183,2006,1,2,0
Study 043,392,citalopram,29,176,2006,1,2,0
Studie032 (M2020/0032),395,reboxetine,15,43,2001,1,1,1
Studie032 (M2020/0032),395,fluoxetine,13,42,2001,1,1,1
Cohn1990,397,sertraline,79,161,1990,0,2,0
Cohn1990,397,amitriptyline,41,80,1990,0,2,0
Aguglia1993,398,sertraline,17,52,1993,0,2,0
Aguglia1993,398,fluoxetine,31,56,1993,0,2,0
Bersani1994,399,sertraline,3,34,1994,0,2,0
Bersani1994,399,amitriptyline,4,34,1994,0,2,0
Moon1994,400,sertraline,4,51,1994,0,2,0
Moon1994,400,clomipramine,10,55,1994,0,2,0
Bennie1995,402,sertraline,24,142,1995,0,1,0
Bennie1995,402,fluoxetine,23,144,1995,0,1,0
vanMoffaert1995a,403,sertraline,14,83,1995,0,2,0
vanMoffaert1995a,403,fluoxetine,16,82,1995,0,2,0
Ekselius1997,405,citalopram,31,200,1997,0,1,0
Ekselius1997,405,sertraline,41,200,1997,0,1,0
Moller1998 (Hegerl1997),407,amitriptyline,14,79,1997,0,1,0
Moller1998 (Hegerl1997),407,sertraline,17,81,1997,0,1,0
Newhouse2000,409,sertraline,37,117,2000,0,2,0
Newhouse2000,409,fluoxetine,39,119,2000,0,2,0
Aberg-Wisted2000,410,paroxetine,26,177,2000,0,1,0
Aberg-Wisted2000,410,sertraline,33,176,2000,0,1,0
Moller2000,411,sertraline,14,116,2000,0,1,0
Moller2000,411,amitriptyline,16,124,2000,0,1,0
Lepine2000,412,sertraline,13,82,2000,0,1,0
Lepine2000,412,clomipramine,19,84,2000,0,1,0
Sir2005,413,venlafaxine,25,84,2003,0,2,0
Sir2005,413,sertraline,13,79,2003,0,2,0
Shelton2006 (NCT00179283),414,venlafaxine,11,78,2003,1,2,0
Shelton2006 (NCT00179283),414,sertraline,19,82,2003,1,2,0
Lapierre1980,434,amitriptyline,2,20,1980,0,2,0
Lapierre1980,434,trazodone,1,20,1980,0,2,0
Blacker1988,441,amitriptyline,8,44,1988,0,2,0
Blacker1988,441,trazodone,28,112,1988,0,2,0
Altamura1989b,442,amitriptyline,5,37,1989,0,2,0
Altamura1989b,442,trazodone,4,36,1989,0,2,0
Kasper2005b,443,paroxetine,0,53,2005,0,2,0
Kasper2005b,443,trazodone,5,55,2005,0,2,0
Munizza2006,444,sertraline,8,60,2006,0,1,0
Munizza2006,444,trazodone,5,62,2006,0,1,0
0600A-654,451,venlafaxine,55,131,1993,1,2,1
0600A-654,451,fluoxetine,43,135,1993,1,2,1
Clerc1994,462,fluoxetine,12,34,1994,0,2,0
Clerc1994,462,venlafaxine,6,34,1994,0,2,0
Dierick1996,465,fluoxetine,40,161,1994,0,2,0
Dierick1996,465,venlafaxine,38,153,1994,0,2,0
Tylee1997,469,fluoxetine,46,170,1997,0,2,0
Tylee1997,469,venlafaxine,47,171,1997,0,2,0
Hackett1998,470,fluvoxamine,13,34,1998,0,2,0
Hackett1998,470,venlafaxine,18,77,1998,0,2,0
Costaesilva1998,471,fluoxetine,18,186,1998,0,1,0
Costaesilva1998,471,venlafaxine,29,196,1998,0,1,0
McPartlin1998,472,paroxetine,52,178,1998,0,2,0
McPartlin1998,472,venlafaxine,47,183,1998,0,2,0
Samuelian1998,473,venlafaxine,18,52,1998,0,2,0
Samuelian1998,473,clomipramine,18,50,1998,0,2,0
Alves1999,477,fluoxetine,9,47,1999,0,1,0
Alves1999,477,venlafaxine,10,40,1999,0,1,0
Mehtonen2000,480,sertraline,12,72,2000,0,1,0
Mehtonen2000,480,venlafaxine,16,75,2000,0,1,0
Tzanakaki2000,481,fluoxetine,12,54,2000,0,2,0
Tzanakaki2000,481,venlafaxine,12,55,2000,0,2,0
Gentil2000,482,venlafaxine,9,57,2000,0,1,0
Gentil2000,482,amitriptyline,8,59,2000,0,1,0
Casabona2002 (0600B 428),483,paroxetine,10,56,2002,1,1,0
Casabona2002 (0600B 428),483,venlafaxine,10,58,2002,1,1,0
Sauer2003,484,venlafaxine,19,79,2003,0,2,0
Sauer2003,484,amitriptyline,20,77,2003,0,2,0
Hosseini2015 (IRCT201203048513N1.),493,venlafaxine,12,28,2011,0,2,0
Hosseini2015 (IRCT201203048513N1.),493,citalopram,2,25,2011,0,2,0
Heller2009(NCT00909155),496,venlafaxine,3,15,2009,1,2,0
Heller2009(NCT00909155),496,fluoxetine,5,14,2009,1,2,0
"Wang2015 (NCT01571453, KCT0000432, 13926A)",521,vortioxetine,38,213,2013,1,1,0
"Wang2015 (NCT01571453, KCT0000432, 13926A)",521,venlafaxine,62,230,2013,1,1,0
