study,id,t,r,n,study_year,unpublished_data,rob,unpublished
Tsutsui2000,360,trazodone,45,109,2000,0,1,0
Miura2000,361,paroxetine,42,109,2000,0,1,0
Miura2000,361,amitriptyline,54,119,2000,0,1,0
Cassano2002 (29060/421),364,paroxetine,50,123,2002,1,2,0
Cassano2002 (29060/421),364,fluoxetine,35,119,2002,1,2,0
Bosc1997b (Study 016 - Massana 1999),383,reboxetine,59,79,1993,1,2,0
Bosc1997b (Study 016 - Massana 1999),383,fluoxetine,64,89,1993,1,2,0
Baldwin2006a (97-CRBX-052 - Study 052),389,reboxetine,80,159,2000,1,2,0
Baldwin2006a (97-CRBX-052 - Study 052),389,paroxetine,100,166,2000,1,2,0
Study 043,392,reboxetine,77,183,2006,1,2,0
Study 043,392,citalopram,98,176,2006,1,2,0
Schwartz2002 (iQWIG),393,reboxetine,45,80,2002,0,2,0
Schwartz2002 (iQWIG),393,venlafaxine,48,87,2002,0,2,0
Studie032 (M2020/0032),395,reboxetine,21,43,2001,1,1,1
Studie032 (M2020/0032),395,fluoxetine,23,42,2001,1,1,1
Cohn1990,397,sertraline,84,161,1990,0,2,0
Cohn1990,397,amitriptyline,40,80,1990,0,2,0
Aguglia1993,398,sertraline,35,52,1993,0,2,0
Aguglia1993,398,fluoxetine,26,56,1993,0,2,0
Bersani1994,399,sertraline,18,34,1994,0,2,0
Bersani1994,399,amitriptyline,17,34,1994,0,2,0
Moon1994,400,sertraline,28,51,1994,0,2,0
Moon1994,400,clomipramine,29,55,1994,0,2,0
Bennie1995,402,sertraline,73,142,1995,0,1,0
Bennie1995,402,fluoxetine,63,144,1995,0,1,0
vanMoffaert1995a,403,sertraline,49,83,1995,0,2,0
vanMoffaert1995a,403,fluoxetine,48,82,1995,0,2,0
Ekselius1997,405,citalopram,136,200,1997,0,1,0
Ekselius1997,405,sertraline,139,200,1997,0,1,0
Moller1998 (Hegerl1997),407,amitriptyline,40,79,1997,0,1,0
Moller1998 (Hegerl1997),407,sertraline,32,81,1997,0,1,0
Sechter1999,408,sertraline,48,118,1999,0,2,0
Sechter1999,408,fluoxetine,35,120,1999,0,2,0
Newhouse2000,409,sertraline,85,117,2000,0,2,0
Newhouse2000,409,fluoxetine,84,119,2000,0,2,0
Aberg-Wisted2000,410,paroxetine,112,177,2000,0,1,0
Aberg-Wisted2000,410,sertraline,111,176,2000,0,1,0
Moller2000,411,sertraline,51,116,2000,0,1,0
Moller2000,411,amitriptyline,71,124,2000,0,1,0
Lepine2000,412,sertraline,53,82,2000,0,1,0
Lepine2000,412,clomipramine,54,84,2000,0,1,0
Sir2005,413,venlafaxine,56,84,2003,0,2,0
Sir2005,413,sertraline,56,79,2003,0,2,0
Shelton2006 (NCT00179283),414,venlafaxine,49,78,2003,1,2,0
Shelton2006 (NCT00179283),414,sertraline,45,82,2003,1,2,0
Blacker1988,441,amitriptyline,29,44,1988,0,2,0
Blacker1988,441,trazodone,58,112,1988,0,2,0
Altamura1989b,442,amitriptyline,21,37,1989,0,2,0
Altamura1989b,442,trazodone,21,36,1989,0,2,0
Kasper2005b,443,paroxetine,48,53,2005,0,2,0
Kasper2005b,443,trazodone,48,55,2005,0,2,0
Munizza2006,444,sertraline,37,60,2006,0,1,0
Munizza2006,444,trazodone,46,62,2006,0,1,0
Clerc1994,462,fluoxetine,17,34,1994,0,2,0
Clerc1994,462,venlafaxine,24,34,1994,0,2,0
Dierick1996,465,fluoxetine,95,161,1994,0,2,0
Dierick1996,465,venlafaxine,107,153,1994,0,2,0
Tylee1997,469,fluoxetine,58,170,1997,0,2,0
Tylee1997,469,venlafaxine,67,171,1997,0,2,0
Hackett1998,470,fluvoxamine,14,34,1998,0,2,0
Hackett1998,470,venlafaxine,48,77,1998,0,2,0
Costaesilva1998,471,fluoxetine,153,186,1998,0,1,0
Costaesilva1998,471,venlafaxine,170,196,1998,0,1,0
McPartlin1998,472,paroxetine,117,178,1998,0,2,0
McPartlin1998,472,venlafaxine,130,183,1998,0,2,0
Samuelian1998,473,venlafaxine,30,52,1998,0,2,0
Samuelian1998,473,clomipramine,20,50,1998,0,2,0
Smeraldi1998,475,venlafaxine,41,55,1998,0,2,0
Smeraldi1998,475,clomipramine,40,58,1998,0,2,0
Smeraldi1998,475,trazodone,33,57,1998,0,2,0
Alves1999,477,fluoxetine,40,47,1999,0,1,0
Alves1999,477,venlafaxine,34,40,1999,0,1,0
Mehtonen2000,480,sertraline,41,72,2000,0,1,0
Mehtonen2000,480,venlafaxine,49,75,2000,0,1,0
Tzanakaki2000,481,fluoxetine,33,54,2000,0,2,0
Tzanakaki2000,481,venlafaxine,38,55,2000,0,2,0
Gentil2000,482,venlafaxine,43,57,2000,0,1,0
Gentil2000,482,amitriptyline,44,59,2000,0,1,0
Casabona2002 (0600B 428),483,paroxetine,29,56,2002,1,1,0
Casabona2002 (0600B 428),483,venlafaxine,43,58,2002,1,1,0
Sauer2003,484,venlafaxine,30,79,2003,0,2,0
Sauer2003,484,amitriptyline,35,77,2003,0,2,0
Allard2004,485,citalopram,50,75,2004,0,2,0
Allard2004,485,venlafaxine,49,76,2004,0,2,0
Keller2007 (NCT00046020),488,fluoxetine,210,275,2007,0,2,0
Keller2007 (NCT00046020),488,venlafaxine,612,821,2007,0,2,0
Hosseini2015 (IRCT201203048513N1.),493,venlafaxine,12,28,2011,0,2,0
Hosseini2015 (IRCT201203048513N1.),493,citalopram,21,25,2011,0,2,0
Heller2009(NCT00909155),496,venlafaxine,9,15,2009,1,2,0
Heller2009(NCT00909155),496,fluoxetine,8,14,2009,1,2,0
Chang 2015,497,fluoxetine,41,58,2015,0,2,0
Chang 2015,497,venlafaxine,38,54,2015,0,2,0
"Wang2015 (NCT01571453, KCT0000432, 13926A)",521,vortioxetine,139,213,2013,1,1,0
"Wang2015 (NCT01571453, KCT0000432, 13926A)",521,venlafaxine,132,230,2013,1,1,0
